MP name,Constituency,Office maximum budget available,Reason for budget set,Office spend,Remaining office budget,First part of the Postcode,Staffing maximum budget available,Reason for budget set,Staffing spend,Remaining staffing budget,Start-up maximum budget available,Reason for budget set,Startup spend,Remaining startup budget,Wind-up maximum budget available,Reason for budget set,Windup spend,Remaining windup budget,Subtotal of office running costs,Accommodation maximum budget available,Reason for budget set,Did the MP rent their accommodation from another MP during this financial year?,Accommodation spend,Remaining budget,First part of the Postcode,Travel/subsistence max budget,Travel/subs spend,Other costs maximum budget available,Other spend,Subtotal of other parliamentary costs,Overall total spend for this financial year
"Adam Afriyie","Windsor CC","","","£604.20","£0.00","","","","£71,345.27","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£71,949.47","","","","£0.00","£0.00","","Uncapped","£0.00","Uncapped","£0.00","£0.00","£71,949.47"
"Adam Holloway","Gravesham CC","","","£22,189.18","£0.00","","","","£136,415.55","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£158,604.73","","","","£0.00","£0.00","","Uncapped","£7,253.20","Uncapped","£0.00","£7,253.20","£165,857.93"
"Adrian Bailey","West Bromwich West BC","","","£16,319.64","£0.00","","","","£102,970.73","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£119,290.37","","","","£15,980.12","£0.00","","Uncapped","£2,931.90","Uncapped","£0.00","£18,912.02","£138,202.39"
"Adrian Sanders","Torbay BC","","","£15,886.17","£0.00","","","","£122,319.11","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£138,205.28","","","","£17,955.14","£0.00","","Uncapped","£8,833.94","Uncapped","£0.00","£26,789.08","£164,994.36"
"Aidan Burley","Cannock Chase CC","","","£23,596.08","£0.00","","","","£136,460.88","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£160,056.96","","","","£24,137.25","£0.00","","Uncapped","£7,874.90","Uncapped","£474.28","£32,486.43","£192,543.39"
"Alan Beith","Berwick-upon-Tweed CC","","","£21,926.52","£0.00","","","","£134,799.07","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£156,725.59","","","","£11,471.87","£0.00","","Uncapped","£12,762.49","Uncapped","£0.00","£24,234.36","£180,959.95"
"Alan Campbell","Tynemouth BC","","","£22,129.71","£0.00","","","","£78,130.44","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£100,260.15","","","","£5,014.59","£0.00","","Uncapped","£12,944.15","Uncapped","£0.00","£17,958.74","£118,218.89"
"Alan Duncan","Rutland and Melton CC","","","£20,042.76","£0.00","","","","£113,188.44","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£133,231.20","","","","£8,850.00","£0.00","","Uncapped","£4,016.50","Uncapped","£0.00","£12,866.50","£146,097.70"
"Alan Haselhurst","Saffron Walden CC","","","£18,571.16","£0.00","","","","£81,161.90","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£99,733.06","","","","£13,575.27","£0.00","","Uncapped","£3,344.95","Uncapped","£0.00","£16,920.22","£116,653.28"
"Alan Johnson","Kingston upon Hull West and Hessle BC","","","£14,205.67","£0.00","","","","£0.00","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£14,205.67","","","","£17,264.45","£0.00","","Uncapped","£7,865.78","Uncapped","£0.00","£25,130.23","£39,335.90"
