Person ID,First name,Last name,Party,Constituency,URI
24853,Julian,Sturdy,Conservative,York Outer,https://www.theyworkforyou.com/mp/24853/julian_sturdy/york_outer
10029,Hugh,Bayley,Labour,York Central,https://www.theyworkforyou.com/mp/10029/hugh_bayley/york_central
11148,Albert,Owen,Labour,Ynys MÙn,https://www.theyworkforyou.com/mp/11148/albert_owen/ynys_mon
11036,David,Laws,Liberal Democrat,Yeovil,https://www.theyworkforyou.com/mp/11036/david_laws/yeovil
10232,Paul,Goggins,Labour,Wythenshawe and Sale East,https://www.theyworkforyou.com/mp/10232/paul_goggins/wythenshawe_and_sale_east
24824,Mark,Garnier,Conservative,Wyre Forest,https://www.theyworkforyou.com/mp/24824/mark_garnier/wyre_forest
11668,Ben,Wallace,Conservative,Wyre and Preston North,https://www.theyworkforyou.com/mp/11668/ben_wallace/wyre_and_preston_north
24786,Steven,Baker,Conservative,Wycombe,https://www.theyworkforyou.com/mp/24786/steven_baker/wycombe
11057,Ian,Lucas,Labour,Wrexham,https://www.theyworkforyou.com/mp/11057/ian_lucas/wrexham
10057,Peter,Bottomley,Conservative,Worthing West,https://www.theyworkforyou.com/mp/10057/peter_bottomley/worthing_west
11943,Barbara,Keeley,Labour,Worsley and Eccles South,https://www.theyworkforyou.com/mp/11943/barbara_keeley/worsley_and_eccles_south
10834,Tony,Cunningham,Labour,Workington,https://www.theyworkforyou.com/mp/10834/tony_cunningham/workington
24862,Robin,Walker,Conservative,Worcester,https://www.theyworkforyou.com/mp/24862/robin_walker/worcester
24886,Paul,Uppal,Conservative,Wolverhampton South West,https://www.theyworkforyou.com/mp/24886/paul_uppal/wolverhampton_south_west
11936,Pat,McFadden,Labour,Wolverhampton South East,https://www.theyworkforyou.com/mp/11936/pat_mcfadden/wolverhampton_south_east
24868,Emma,Reynolds,Labour,Wolverhampton North East,https://www.theyworkforyou.com/mp/24868/emma_reynolds/wolverhampton_north_east
10499,John,Redwood,Conservative,Wokingham,https://www.theyworkforyou.com/mp/10499/john_redwood/wokingham
24884,Jonathan,Lord,Conservative,Woking,https://www.theyworkforyou.com/mp/24884/jonathan_lord/woking
10777,David,Cameron,Conservative,Witney,https://www.theyworkforyou.com/mp/10777/david_cameron/witney
24778,Priti,Patel,Conservative,Witham,https://www.theyworkforyou.com/mp/24778/priti_patel/witham
24882,Esther,McVey,Conservative,Wirral West,https://www.theyworkforyou.com/mp/24882/esther_mcvey/wirral_west
24897,Alison,McGovern,Labour,Wirral South,https://www.theyworkforyou.com/mp/24897/alison_mcgovern/wirral_south
11929,Adam,Afriyie,Conservative,Windsor,https://www.theyworkforyou.com/mp/11929/adam_afriyie/windsor
24901,Steve,Brine,Conservative,Winchester,https://www.theyworkforyou.com/mp/24901/steve_brine/winchester
11927,Stephen,Hammond,Conservative,Wimbledon,https://www.theyworkforyou.com/mp/11927/stephen_hammond/wimbledon
24831,Lisa,Nandy,Labour,Wigan,https://www.theyworkforyou.com/mp/24831/lisa_nandy/wigan
11924,John,Penrose,Conservative,Weston-Super-Mare,https://www.theyworkforyou.com/mp/11924/john_penrose/weston-super-mare
11923,Tim,Farron,Liberal Democrat,Westmorland and Lonsdale,https://www.theyworkforyou.com/mp/11923/tim_farron/westmorland_and_lonsdale
10075,Karen,Buck,Labour,Westminster North,https://www.theyworkforyou.com/mp/10075/karen_buck/westminster_north
24785,Harriett,Baldwin,Conservative,West Worcestershire,https://www.theyworkforyou.com/mp/24785/harriett_baldwin/west_worcestershire
10858,Pat,Doherty,Sinn Fein,West Tyrone,https://www.theyworkforyou.com/mp/10858/pat_doherty/west_tyrone
24773,Matthew,Hancock,Conservative,West Suffolk,https://www.theyworkforyou.com/mp/24773/matthew_hancock/west_suffolk
11667,Rosie,Cooper,Labour,West Lancashire,https://www.theyworkforyou.com/mp/11667/rosie_cooper/west_lancashire
11921,Lyn,Brown,Labour,West Ham,https://www.theyworkforyou.com/mp/11921/lyn_brown/west_ham
24918,Gemma,Doyle,Labour,West Dunbartonshire,https://www.theyworkforyou.com/mp/24918/gemma_doyle/west_dunbartonshire
10355,Oliver,Letwin,Conservative,West Dorset,https://www.theyworkforyou.com/mp/10355/oliver_letwin/west_dorset
10683,Adrian,Bailey,Labour,West Bromwich West,https://www.theyworkforyou.com/mp/10683/adrian_bailey/west_bromwich_west
11309,Tom,Watson,Labour,West Bromwich East,https://www.theyworkforyou.com/mp/11309/tom_watson/west_bromwich_east
